Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax,Total,Date,Time,Payment,Rating
INV000022,A,Mandalay,Normal,Male,Electronic Accessories,89.66,8,5.97,249.79,2023-12-12,13:22,Credit card,7.1
INV000023,A,Naypyitaw,Normal,Female,Sports & Travel,87.58,9,5.67,315.69,2023-07-07,17:27,Cash,8.5
INV000024,A,Yangon,Member,Female,Sports & Travel,23.78,5,1.46,243.84,2023-03-07,12:01,Ewallet,6.0
INV000025,B,Naypyitaw,Member,Male,Sports & Travel,37.15,4,6.55,60.06,2023-06-11,16:02,Credit card,7.9
INV000026,C,Naypyitaw,Member,Female,Electronic Accessories,10.21,1,5.31,68.89,2023-08-28,11:23,Cash,7.9
INV000027,C,Mandalay,Member,Male,Electronic Accessories,70.65,9,8.23,81.01,2023-08-17,13:31,Cash,6.2
INV000028,B,Yangon,Normal,Female,Food & Beverages,78.55,9,5.31,70.6,2023-04-29,18:18,Ewallet,8.5
INV000029,A,Yangon,Member,Male,Fashion Accessories,69.1,7,2.18,267.62,2023-09-29,14:55,Cash,8.0
INV000030,B,Yangon,Normal,Female,Sports & Travel,84.57,7,2.27,171.84,2023-10-27,14:12,Cash,6.9
INV000031,A,Mandalay,Member,Female,Health & Beauty,30.42,6,7.71,93.68,2023-07-23,8:28,Credit card,9.2
INV000032,C,Mandalay,Member,Female,Food & Beverages,60.31,5,2.32,62.79,2023-04-26,16:00,Ewallet,7.3
INV000033,B,Naypyitaw,Member,Female,Health & Beauty,93.21,5,1.19,368.43,2023-04-20,16:21,Ewallet,9.2
INV000034,A,Yangon,Normal,Female,Home & Lifestyle,19.87,8,8.79,424.4,2023-07-01,11:58,Cash,8.0
INV000035,A,Yangon,Normal,Female,Food & Beverages,73.71,3,6.47,452.88,2023-03-13,18:00,Cash,7.6
INV000036,B,Mandalay,Normal,Male,Home & Lifestyle,59.49,8,4.06,415.45,2023-12-01,12:27,Credit card,5.0
INV000037,C,Yangon,Member,Female,Health & Beauty,30.62,7,9.7,155.94,2023-11-16,13:36,Cash,9.2
INV000038,B,Naypyitaw,Member,Female,Food & Beverages,63.73,9,8.72,199.16,2023-07-21,16:14,Credit card,4.7
INV000039,C,Yangon,Member,Female,Electronic Accessories,22.22,5,4.87,297.29,2023-10-21,18:17,Cash,9.1
INV000040,A,Naypyitaw,Member,Female,Food & Beverages,49.54,2,7.43,39.81,2023-04-30,17:08,Ewallet,4.3
INV000041,B,Naypyitaw,Normal,Female,Fashion Accessories,85.97,9,4.05,134.32,2023-11-14,8:07,Cash,9.7
INV000042,C,Mandalay,Normal,Female,Fashion Accessories,46.8,9,4.09,361.19,2023-07-12,13:17,Cash,4.7
INV000043,B,Yangon,Normal,Female,Electronic Accessories,73.09,7,4.41,444.32,2023-12-11,14:55,Credit card,9.4
INV000044,A,Yangon,Member,Male,Food & Beverages,40.43,9,8.64,355.12,2023-07-17,11:40,Cash,8.0
INV000045,C,Naypyitaw,Normal,Female,Food & Beverages,37.45,6,3.75,307.48,2023-09-05,11:29,Ewallet,7.9
INV000046,A,Mandalay,Normal,Female,Sports & Travel,99.25,5,4.54,390.27,2023-05-30,15:02,Cash,4.8
INV000047,B,Mandalay,Normal,Female,Health & Beauty,84.15,1,8.86,85.81,2023-01-26,9:16,Ewallet,7.2
INV000048,A,Naypyitaw,Normal,Female,Health & Beauty,40.07,8,4.79,164.05,2023-07-08,14:05,Credit card,8.2
INV000049,B,Yangon,Member,Male,Electronic Accessories,65.7,7,3.39,125.18,2023-08-15,12:17,Cash,9.3
INV000050,A,Naypyitaw,Normal,Female,Fashion Accessories,16.32,2,1.28,273.64,2023-05-03,13:16,Ewallet,9.2
INV000051,B,Yangon,Normal,Male,Sports & Travel,34.11,6,8.0,497.51,2023-06-17,17:16,Cash,6.1
INV000052,A,Yangon,Member,Female,Health & Beauty,37.16,9,7.34,208.72,2023-10-27,11:14,Ewallet,8.9
INV000053,C,Naypyitaw,Member,Male,Sports & Travel,41.21,3,8.99,210.29,2023-12-26,8:54,Credit card,6.2
INV000054,B,Yangon,Member,Male,Health & Beauty,51.49,4,6.8,398.35,2023-12-10,17:37,Ewallet,5.7
INV000055,C,Mandalay,Member,Female,Food & Beverages,65.18,7,3.45,128.0,2023-03-24,10:27,Credit card,8.4
INV000056,C,Naypyitaw,Normal,Female,Food & Beverages,87.62,8,3.86,277.55,2023-12-26,16:33,Cash,9.1
INV000057,B,Naypyitaw,Member,Male,Electronic Accessories,17.49,3,5.38,458.39,2023-11-04,14:18,Credit card,4.9
INV000058,B,Naypyitaw,Normal,Female,Home & Lifestyle,87.54,7,8.02,174.64,2023-10-05,12:52,Cash,9.9
INV000059,A,Yangon,Member,Female,Home & Lifestyle,39.62,5,2.75,197.94,2023-08-13,14:52,Ewallet,7.4
INV000060,C,Mandalay,Normal,Male,Fashion Accessories,65.35,3,7.27,203.12,2023-09-27,18:24,Ewallet,9.8
INV000061,B,Naypyitaw,Normal,Female,Food & Beverages,82.88,4,5.64,323.61,2023-10-05,13:01,Cash,4.9
INV000062,B,Naypyitaw,Normal,Female,Health & Beauty,28.88,8,3.87,152.04,2023-06-25,18:58,Cash,7.6
INV000063,B,Yangon,Member,Female,Electronic Accessories,99.72,9,6.33,354.0,2023-09-08,16:02,Ewallet,8.5
INV000064,C,Yangon,Member,Male,Food & Beverages,63.75,6,8.32,59.55,2023-08-17,11:25,Cash,8.4
INV000065,A,Mandalay,Member,Female,Food & Beverages,93.29,4,7.08,99.07,2023-09-01,18:20,Credit card,8.4
INV000066,A,Mandalay,Member,Female,Health & Beauty,26.22,3,7.54,201.04,2023-03-22,10:46,Cash,8.1
INV000067,B,Mandalay,Member,Female,Food & Beverages,70.7,7,8.44,34.09,2023-06-27,8:51,Ewallet,8.5
INV000068,A,Yangon,Member,Female,Sports & Travel,66.97,4,4.8,73.47,2023-05-09,10:30,Ewallet,8.0
INV000069,B,Yangon,Normal,Female,Health & Beauty,72.5,5,8.79,215.43,2023-03-06,10:24,Cash,9.2
INV000070,A,Naypyitaw,Member,Male,Sports & Travel,74.78,5,3.4,143.99,2023-06-29,11:09,Credit card,6.7
INV000071,C,Yangon,Normal,Male,Home & Lifestyle,79.05,9,4.94,281.93,2023-11-10,19:33,Credit card,7.3
INV000072,B,Mandalay,Normal,Male,Health & Beauty,82.82,4,5.26,294.96,2023-02-17,10:06,Credit card,6.4
INV000073,A,Naypyitaw,Normal,Male,Electronic Accessories,79.71,4,2.27,357.94,2023-03-23,14:29,Ewallet,6.7
INV000074,C,Naypyitaw,Member,Male,Home & Lifestyle,79.31,7,7.46,125.82,2023-10-17,10:14,Credit card,7.1
INV000075,C,Yangon,Normal,Female,Home & Lifestyle,16.44,2,4.24,21.48,2023-01-18,16:07,Ewallet,4.4
INV000076,C,Naypyitaw,Normal,Female,Electronic Accessories,79.03,2,4.53,181.86,2023-06-28,15:46,Credit card,4.0
INV000077,A,Mandalay,Member,Female,Food & Beverages,78.52,6,7.41,466.19,2023-08-23,18:51,Ewallet,6.4
INV000078,B,Yangon,Normal,Male,Sports & Travel,40.4,2,1.54,114.82,2023-05-08,10:22,Ewallet,4.3
INV000079,C,Mandalay,Member,Male,Fashion Accessories,17.42,9,4.17,477.9,2023-12-02,10:55,Cash,5.8
INV000080,B,Naypyitaw,Normal,Male,Food & Beverages,85.16,3,6.01,409.05,2023-09-25,16:56,Ewallet,4.2
INV000081,C,Yangon,Member,Male,Fashion Accessories,80.09,8,3.4,72.04,2023-01-05,12:08,Credit card,6.3
INV000082,A,Yangon,Normal,Male,Home & Lifestyle,15.73,3,1.77,412.74,2023-10-21,12:00,Ewallet,6.8
INV000083,A,Yangon,Normal,Female,Fashion Accessories,77.1,7,5.6,58.22,2023-09-07,10:12,Credit card,9.2
INV000084,B,Naypyitaw,Member,Female,Home & Lifestyle,91.28,9,4.84,114.57,2023-01-21,15:47,Ewallet,6.2
INV000085,C,Mandalay,Member,Female,Sports & Travel,20.58,7,4.56,383.5,2023-09-23,19:02,Credit card,9.9
INV000086,C,Yangon,Member,Male,Sports & Travel,64.44,1,7.43,390.72,2023-03-08,15:04,Credit card,5.8
INV000087,B,Naypyitaw,Normal,Female,Food & Beverages,39.31,5,2.38,489.27,2023-11-13,17:52,Ewallet,8.7
INV000088,A,Naypyitaw,Normal,Male,Electronic Accessories,54.05,1,6.15,218.95,2023-10-10,15:15,Cash,9.8
INV000089,A,Yangon,Normal,Female,Food & Beverages,22.97,9,9.16,154.19,2023-11-29,17:24,Credit card,6.0
INV000090,C,Yangon,Member,Male,Sports & Travel,38.42,4,6.55,480.81,2023-10-13,12:17,Credit card,8.8
INV000091,C,Mandalay,Member,Male,Health & Beauty,95.81,1,3.49,193.91,2023-07-09,19:41,Ewallet,8.5
INV000092,A,Yangon,Normal,Male,Sports & Travel,25.99,7,5.91,257.58,2023-10-29,11:59,Ewallet,5.7
INV000093,A,Yangon,Member,Male,Electronic Accessories,24.61,2,8.6,194.82,2023-01-20,14:14,Cash,5.0
INV000094,A,Mandalay,Normal,Female,Home & Lifestyle,68.06,8,5.7,352.1,2023-01-31,16:13,Ewallet,7.7
INV000095,B,Mandalay,Normal,Male,Food & Beverages,76.76,8,3.46,222.74,2023-07-13,14:50,Cash,6.4
INV000096,C,Yangon,Member,Female,Electronic Accessories,50.26,8,6.39,137.63,2023-05-20,12:55,Ewallet,4.8
INV000097,B,Mandalay,Normal,Female,Sports & Travel,78.84,3,7.68,394.55,2023-06-18,16:34,Credit card,4.3
INV000098,C,Mandalay,Normal,Female,Health & Beauty,68.91,9,7.37,243.87,2023-09-04,12:37,Ewallet,4.9
INV000099,C,Yangon,Normal,Male,Electronic Accessories,83.12,7,7.28,476.17,2023-05-12,15:56,Ewallet,4.7
INV000100,B,Yangon,Normal,Male,Health & Beauty,65.78,2,6.33,41.04,2023-01-23,13:21,Ewallet,8.1
INV000101,B,Naypyitaw,Normal,Male,Electronic Accessories,45.34,6,1.69,377.15,2023-03-23,14:10,Credit card,5.5
INV000102,B,Mandalay,Member,Female,Electronic Accessories,93.28,6,2.05,283.72,2023-10-15,8:16,Ewallet,9.7
INV000103,C,Naypyitaw,Normal,Male,Electronic Accessories,24.88,1,2.38,451.27,2023-01-16,12:50,Ewallet,5.6
INV000104,B,Mandalay,Normal,Female,Home & Lifestyle,23.64,4,5.52,434.05,2023-05-29,15:08,Cash,8.1
INV000105,C,Yangon,Normal,Male,Home & Lifestyle,58.86,8,4.09,47.28,2023-05-03,18:47,Ewallet,8.1
INV000106,C,Mandalay,Member,Female,Home & Lifestyle,14.95,7,9.67,98.6,2023-12-14,11:12,Cash,7.9
INV000107,B,Naypyitaw,Member,Female,Fashion Accessories,89.61,5,5.99,396.11,2023-03-04,17:18,Credit card,5.5
INV000108,C,Yangon,Member,Female,Fashion Accessories,49.8,7,9.05,218.18,2023-10-24,14:16,Ewallet,6.6
INV000109,C,Mandalay,Member,Male,Food & Beverages,30.15,7,6.62,32.49,2023-08-22,12:48,Credit card,8.1
INV000110,B,Yangon,Member,Male,Home & Lifestyle,26.29,4,6.37,32.16,2023-01-26,8:05,Ewallet,9.8
INV000111,A,Mandalay,Member,Female,Electronic Accessories,91.07,1,9.74,219.35,2023-02-26,15:24,Cash,8.0
INV000112,A,Naypyitaw,Member,Female,Sports & Travel,64.35,3,7.56,190.18,2023-06-26,17:40,Ewallet,6.8
INV000113,A,Mandalay,Member,Female,Health & Beauty,16.04,6,9.94,429.21,2023-11-30,10:07,Ewallet,7.7
INV000114,A,Mandalay,Member,Female,Fashion Accessories,99.16,8,8.23,26.98,2023-11-17,9:58,Cash,9.0
INV000115,C,Yangon,Member,Female,Health & Beauty,87.37,2,3.89,474.53,2023-12-19,15:40,Ewallet,7.7
INV000116,B,Naypyitaw,Normal,Female,Electronic Accessories,91.46,9,1.04,394.26,2023-06-02,11:38,Ewallet,8.3
INV000117,B,Yangon,Normal,Male,Electronic Accessories,69.85,8,5.33,368.91,2023-09-15,16:27,Credit card,4.0
INV000118,C,Yangon,Normal,Male,Health & Beauty,63.81,3,9.83,428.16,2023-10-28,12:04,Cash,5.4
INV000119,B,Naypyitaw,Member,Male,Fashion Accessories,20.35,5,2.13,129.06,2023-05-22,9:47,Credit card,7.5
INV000120,B,Mandalay,Normal,Male,Electronic Accessories,32.55,9,7.74,117.55,2023-02-02,8:01,Cash,4.1
INV000121,A,Yangon,Member,Male,Electronic Accessories,16.0,1,1.03,22.09,2023-12-12,17:08,Ewallet,7.6
INV000122,B,Naypyitaw,Member,Female,Food & Beverages,57.88,5,3.36,52.95,2023-06-02,12:02,Ewallet,7.3
INV000123,A,Naypyitaw,Member,Male,Electronic Accessories,56.21,4,9.67,170.37,2023-11-27,15:58,Credit card,9.0
INV000124,A,Yangon,Member,Female,Food & Beverages,33.98,7,2.27,98.25,2023-04-26,18:31,Ewallet,9.6
INV000125,A,Mandalay,Member,Male,Food & Beverages,15.53,9,3.59,270.55,2023-06-27,17:53,Cash,4.5
INV000126,C,Yangon,Member,Male,Food & Beverages,64.87,7,4.7,163.79,2023-02-13,18:11,Ewallet,7.9
INV000127,B,Naypyitaw,Normal,Male,Sports & Travel,19.0,6,4.4,92.05,2023-04-24,16:39,Cash,7.0
INV000128,B,Naypyitaw,Member,Male,Sports & Travel,74.61,9,4.62,257.3,2023-05-26,10:35,Credit card,9.2
INV000129,C,Yangon,Normal,Male,Home & Lifestyle,91.32,6,4.6,163.79,2023-05-02,17:47,Credit card,6.4
INV000130,C,Yangon,Normal,Female,Home & Lifestyle,54.64,1,3.7,67.89,2023-07-01,12:41,Ewallet,4.3
INV000131,A,Yangon,Member,Female,Food & Beverages,94.5,2,2.25,416.09,2023-06-04,13:55,Ewallet,7.1
INV000132,C,Naypyitaw,Member,Female,Home & Lifestyle,32.24,2,9.57,410.96,2023-10-31,14:21,Ewallet,8.3
INV000133,C,Naypyitaw,Member,Female,Fashion Accessories,21.88,5,1.79,332.3,2023-12-29,14:35,Credit card,9.7
INV000134,B,Yangon,Member,Female,Electronic Accessories,80.13,2,2.33,161.28,2023-12-13,11:43,Credit card,7.5
INV000135,B,Mandalay,Member,Female,Sports & Travel,58.04,6,2.45,57.32,2023-09-08,13:05,Ewallet,4.7
INV000136,B,Yangon,Normal,Male,Fashion Accessories,70.08,5,9.27,472.15,2023-03-12,15:39,Cash,7.9
INV000137,A,Mandalay,Member,Male,Health & Beauty,79.11,2,6.59,59.57,2023-11-01,16:34,Cash,6.1
INV000138,A,Naypyitaw,Normal,Female,Electronic Accessories,87.77,5,8.14,162.38,2023-07-24,14:26,Cash,7.6
INV000139,C,Mandalay,Member,Male,Home & Lifestyle,36.62,6,7.77,403.33,2023-12-15,9:46,Cash,8.7
INV000140,B,Yangon,Member,Female,Health & Beauty,39.7,1,5.99,469.75,2023-11-22,19:20,Cash,7.2
INV000141,B,Naypyitaw,Member,Female,Health & Beauty,34.21,1,3.76,66.71,2023-09-02,8:23,Ewallet,9.8
INV000142,A,Mandalay,Normal,Male,Fashion Accessories,20.41,8,2.04,209.11,2023-09-05,16:29,Cash,4.0
INV000143,A,Mandalay,Normal,Male,Food & Beverages,37.71,5,9.26,382.96,2023-12-28,18:42,Credit card,5.8
INV000144,C,Mandalay,Member,Female,Fashion Accessories,56.69,8,2.65,104.43,2023-04-22,13:00,Ewallet,7.5
INV000145,C,Yangon,Normal,Male,Home & Lifestyle,40.29,9,2.62,65.62,2023-06-19,14:18,Ewallet,4.0
INV000146,B,Naypyitaw,Member,Male,Health & Beauty,45.05,6,6.56,447.06,2023-10-07,13:38,Ewallet,6.5
INV000147,A,Yangon,Member,Male,Food & Beverages,88.29,6,4.82,148.3,2023-08-31,8:17,Credit card,5.6
INV000148,A,Yangon,Member,Female,Home & Lifestyle,77.1,2,9.53,254.67,2023-08-31,9:54,Ewallet,5.6
INV000149,C,Yangon,Member,Male,Home & Lifestyle,25.06,9,7.4,28.7,2023-03-22,19:24,Ewallet,6.5
INV000150,B,Yangon,Normal,Female,Health & Beauty,91.73,2,9.82,80.69,2023-06-21,11:05,Credit card,6.0
INV000151,B,Mandalay,Member,Male,Home & Lifestyle,50.74,9,4.93,491.22,2023-06-16,11:59,Cash,5.5
INV000152,B,Yangon,Member,Male,Health & Beauty,77.38,6,7.65,40.06,2023-06-19,10:29,Cash,9.0
INV000153,C,Mandalay,Normal,Male,Sports & Travel,63.26,4,5.21,124.05,2023-05-18,13:59,Credit card,8.0
INV000154,B,Yangon,Member,Male,Sports & Travel,75.98,7,5.8,392.32,2023-05-03,19:31,Ewallet,7.5
INV000155,A,Mandalay,Normal,Male,Sports & Travel,91.8,4,7.99,203.29,2023-12-02,10:36,Credit card,6.6
INV000156,B,Mandalay,Member,Male,Home & Lifestyle,38.7,4,1.81,143.29,2023-06-28,19:41,Cash,7.8
INV000157,C,Mandalay,Normal,Female,Home & Lifestyle,35.7,9,5.5,191.85,2023-03-25,15:11,Credit card,5.9
INV000158,A,Naypyitaw,Normal,Male,Home & Lifestyle,58.29,6,3.15,312.38,2023-12-22,19:04,Ewallet,6.2
INV000159,A,Mandalay,Normal,Female,Home & Lifestyle,78.88,3,7.45,359.62,2023-05-07,19:33,Credit card,4.7
INV000160,C,Naypyitaw,Member,Male,Sports & Travel,71.63,7,3.21,120.93,2023-07-13,10:30,Ewallet,5.0
INV000161,B,Yangon,Normal,Female,Fashion Accessories,35.0,5,3.65,130.12,2023-11-22,17:54,Cash,4.7
INV000162,B,Naypyitaw,Member,Male,Food & Beverages,13.42,1,3.42,370.57,2023-09-02,19:26,Cash,6.8
INV000163,B,Naypyitaw,Member,Male,Food & Beverages,37.7,4,2.04,149.24,2023-11-20,8:41,Cash,8.0
INV000164,C,Naypyitaw,Normal,Male,Food & Beverages,48.57,8,1.14,66.79,2023-08-01,12:29,Ewallet,6.6
INV000165,C,Mandalay,Normal,Female,Sports & Travel,79.33,8,9.72,69.98,2023-11-02,17:33,Ewallet,7.6
INV000166,B,Yangon,Normal,Male,Food & Beverages,54.2,2,6.74,106.54,2023-08-31,18:27,Ewallet,5.0
INV000167,A,Mandalay,Member,Female,Electronic Accessories,53.1,3,4.55,145.53,2023-03-13,17:53,Credit card,8.5
INV000168,C,Yangon,Normal,Male,Health & Beauty,83.58,5,9.93,483.23,2023-02-27,15:05,Cash,4.2
INV000169,A,Yangon,Normal,Male,Fashion Accessories,66.8,8,4.94,301.6,2023-07-01,9:58,Credit card,5.6
INV000170,B,Yangon,Normal,Male,Health & Beauty,22.19,8,7.14,374.35,2023-02-16,14:26,Cash,7.3
INV000171,B,Naypyitaw,Normal,Male,Home & Lifestyle,31.06,3,2.97,396.69,2023-05-07,18:04,Ewallet,7.6
INV000172,A,Mandalay,Normal,Male,Electronic Accessories,15.74,4,7.23,164.05,2023-07-15,14:59,Cash,8.0
INV000173,B,Mandalay,Member,Female,Home & Lifestyle,44.89,1,9.66,254.34,2023-03-02,11:59,Cash,9.1
INV000174,A,Mandalay,Member,Male,Food & Beverages,37.54,6,7.72,403.15,2023-04-18,14:23,Credit card,9.0
INV000175,C,Naypyitaw,Normal,Male,Home & Lifestyle,15.21,3,4.87,374.77,2023-05-16,8:19,Ewallet,5.0
INV000176,A,Yangon,Normal,Male,Sports & Travel,88.6,1,7.62,286.39,2023-06-01,9:45,Ewallet,7.1
INV000177,A,Mandalay,Member,Female,Home & Lifestyle,99.39,9,5.06,403.06,2023-09-13,12:47,Cash,6.2
INV000178,C,Yangon,Normal,Female,Electronic Accessories,70.68,4,8.85,141.59,2023-12-18,15:28,Credit card,7.0
INV000179,A,Naypyitaw,Normal,Female,Health & Beauty,34.38,7,3.51,165.09,2023-08-08,15:36,Credit card,9.4
INV000180,A,Mandalay,Member,Male,Health & Beauty,68.42,8,7.23,92.51,2023-01-29,19:12,Cash,8.8
INV000181,C,Naypyitaw,Normal,Female,Sports & Travel,49.28,1,2.34,203.63,2023-12-28,16:52,Cash,9.7
INV000182,C,Naypyitaw,Normal,Female,Fashion Accessories,91.87,8,9.95,130.83,2023-07-08,15:43,Credit card,7.0
INV000183,A,Yangon,Normal,Female,Health & Beauty,63.15,9,9.54,276.71,2023-12-19,8:17,Credit card,5.0
INV000184,B,Yangon,Member,Female,Health & Beauty,42.75,3,1.09,481.14,2023-03-04,14:31,Ewallet,6.6
INV000185,A,Mandalay,Normal,Male,Home & Lifestyle,74.01,7,8.38,456.36,2023-01-18,13:24,Ewallet,6.3
INV000186,B,Naypyitaw,Member,Male,Health & Beauty,48.16,8,9.99,32.94,2023-02-24,16:19,Cash,5.8
INV000187,B,Naypyitaw,Member,Female,Home & Lifestyle,58.13,5,6.7,431.86,2023-05-28,16:34,Ewallet,8.9
INV000188,C,Mandalay,Member,Female,Fashion Accessories,58.04,9,9.15,184.66,2023-11-26,19:00,Ewallet,9.2
INV000189,B,Mandalay,Normal,Female,Electronic Accessories,29.53,5,7.74,496.62,2023-08-15,18:11,Ewallet,7.0
INV000190,A,Naypyitaw,Normal,Male,Electronic Accessories,10.17,8,8.66,363.37,2023-03-18,18:15,Cash,5.8
INV000191,C,Yangon,Member,Male,Home & Lifestyle,16.44,3,4.86,36.15,2023-09-20,18:16,Credit card,4.4
INV000192,B,Yangon,Member,Female,Sports & Travel,71.68,6,3.04,252.08,2023-01-11,17:06,Cash,7.4
INV000193,A,Naypyitaw,Normal,Male,Electronic Accessories,32.23,9,5.09,285.5,2023-04-16,16:46,Ewallet,4.9
INV000194,B,Yangon,Normal,Female,Health & Beauty,26.32,1,9.04,441.03,2023-01-16,8:51,Cash,7.2
INV000195,A,Yangon,Normal,Male,Fashion Accessories,36.24,4,3.54,332.41,2023-09-24,8:06,Cash,6.0
INV000196,B,Mandalay,Member,Female,Home & Lifestyle,74.42,1,1.33,326.64,2023-09-22,16:52,Ewallet,6.1
INV000197,C,Naypyitaw,Normal,Male,Electronic Accessories,34.17,5,8.6,197.78,2023-08-21,12:56,Credit card,6.2
INV000198,B,Naypyitaw,Member,Female,Food & Beverages,17.48,4,9.82,426.58,2023-06-28,17:00,Cash,9.9
INV000199,C,Mandalay,Member,Male,Electronic Accessories,27.52,3,6.87,414.95,2023-05-23,15:59,Credit card,5.6
INV000200,C,Naypyitaw,Normal,Female,Sports & Travel,48.03,4,9.56,271.82,2023-11-20,17:33,Ewallet,7.9
INV000201,C,Naypyitaw,Member,Male,Electronic Accessories,57.62,3,3.05,182.75,2023-11-14,9:11,Ewallet,9.2
INV000202,C,Naypyitaw,Member,Male,Health & Beauty,33.51,1,5.89,400.57,2023-05-10,12:34,Credit card,8.1
INV000203,A,Mandalay,Member,Female,Food & Beverages,23.09,8,9.5,44.47,2023-12-20,14:21,Cash,7.9
INV000204,A,Mandalay,Normal,Female,Fashion Accessories,21.86,9,1.53,174.54,2023-03-16,10:54,Credit card,4.5
INV000205,C,Mandalay,Member,Female,Electronic Accessories,39.31,6,1.03,207.82,2023-04-28,17:53,Credit card,7.2
INV000206,B,Naypyitaw,Normal,Female,Home & Lifestyle,36.13,6,3.08,160.68,2023-08-09,13:29,Cash,8.2
INV000207,B,Yangon,Member,Female,Fashion Accessories,15.14,4,9.09,278.65,2023-04-29,11:26,Credit card,8.2
INV000208,C,Mandalay,Normal,Female,Health & Beauty,59.24,2,9.72,172.75,2023-09-09,12:30,Cash,4.8
INV000209,B,Yangon,Member,Male,Electronic Accessories,43.28,9,3.55,63.54,2023-11-14,16:27,Cash,5.4
INV000210,B,Mandalay,Normal,Female,Home & Lifestyle,21.28,1,1.55,260.36,2023-05-02,12:25,Ewallet,5.1
INV000211,B,Mandalay,Member,Male,Health & Beauty,99.01,9,1.21,79.75,2023-02-12,10:26,Credit card,5.9
INV000212,A,Naypyitaw,Normal,Female,Home & Lifestyle,45.01,3,3.56,462.24,2023-01-17,12:45,Cash,6.8
INV000213,B,Mandalay,Normal,Female,Health & Beauty,39.54,7,1.59,457.23,2023-06-21,10:47,Credit card,7.9
INV000214,A,Yangon,Normal,Female,Food & Beverages,77.33,2,3.45,135.04,2023-06-05,11:06,Ewallet,7.2
INV000215,C,Naypyitaw,Member,Female,Home & Lifestyle,63.39,8,6.01,453.63,2023-03-07,14:01,Credit card,8.7
INV000216,B,Naypyitaw,Member,Male,Electronic Accessories,68.22,3,2.7,421.96,2023-08-30,10:39,Ewallet,5.9
INV000217,B,Mandalay,Member,Male,Health & Beauty,80.58,8,8.72,75.47,2023-05-30,8:18,Credit card,7.3
INV000218,A,Yangon,Member,Female,Health & Beauty,96.39,5,2.32,466.51,2023-12-01,18:34,Credit card,5.2
INV000219,C,Mandalay,Normal,Male,Fashion Accessories,34.19,8,1.0,43.01,2023-06-30,19:51,Cash,9.5
INV000220,B,Mandalay,Member,Female,Health & Beauty,15.69,9,1.58,135.87,2023-04-08,19:33,Ewallet,6.6
INV000221,C,Naypyitaw,Member,Female,Electronic Accessories,16.21,1,5.09,107.56,2023-09-16,14:49,Cash,9.8
INV000222,A,Naypyitaw,Member,Male,Electronic Accessories,65.42,6,2.69,348.08,2023-07-03,11:50,Cash,6.9
